#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::Basic verbs::all
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint
"estar, ns, imperativo",estar,być,to be,ns,imperativo,estemos,,False,estar
"estar, vs, imperativo",estar,być,to be,vs,imperativo,estad,,False,estar
"estar, ustedes, imperativo",estar,być,to be,uds,imperativo,est<em>é</em>n,,True,estar
"estar, yo, futuro",estar,być,to be,yo,futuro_simple,estaré,,False,estar
"estar, tú, futuro",estar,być,to be,tu,futuro_simple,estarás,,False,estar
"estar, él, futuro",estar,być,to be,el,futuro_simple,estará,,False,estar
"estar, ns, futuro",estar,być,to be,ns,futuro_simple,estaremos,,False,estar
"estar, vs, futuro",estar,być,to be,vs,futuro_simple,estaréis,,False,estar
"estar, ellos, futuro",estar,być,to be,ellos,futuro_simple,estarán,,False,estar
"haber, yo, presente",haber,egzystować,to have,yo,presente,h<em>e</em>,,True,
"haber, tú, presente",haber,egzystować,to have,tu,presente,ha<em>s</em>,,True,
"haber, él, presente",haber,egzystować,to have,el,presente,h<em>a</em>,,True,
"haber, ns, presente",haber,egzystować,to have,ns,presente,h<em>e</em>mos,,True,
"haber, vs, presente",haber,egzystować,to have,vs,presente,habéis,,False,
"haber, ellos, presente",haber,egzystować,to have,ellos,presente,ha<em>n</em>,,True,
"haber, yo, pret. indefinido",haber,egzystować,to have,yo,pret_indefinido,h<em>ube</em>,,True,
"haber, tú, pret. indefinido",haber,egzystować,to have,tu,pret_indefinido,h<em>u</em>biste,,True,
"haber, él, pret. indefinido",haber,egzystować,to have,el,pret_indefinido,h<em>ubo</em>,,True,
"haber, ns, pret. indefinido",haber,egzystować,to have,ns,pret_indefinido,h<em>u</em>bimos,,True,
"haber, vs, pret. indefinido",haber,egzystować,to have,vs,pret_indefinido,h<em>u</em>bisteis,,True,
"haber, ellos, pret. indefinido",haber,egzystować,to have,ellos,pret_indefinido,h<em>u</em>bieron,,True,
"haber, yo, pret. perfecto",haber,egzystować,to have,yo,pret_perfecto,he habido,,False,
"haber, tú, pret. perfecto",haber,egzystować,to have,tu,pret_perfecto,has habido,,False,
"haber, él, pret. perfecto",haber,egzystować,to have,el,pret_perfecto,ha habido,,False,
"haber, ns, pret. perfecto",haber,egzystować,to have,ns,pret_perfecto,hemos habido,,False,
"haber, vs, pret. perfecto",haber,egzystować,to have,vs,pret_perfecto,habéis habido,,False,
"haber, ellos, pret. perfecto",haber,egzystować,to have,ellos,pret_perfecto,han habido,,False,
"haber, yo, presente progresivo",haber,egzystować,to have,yo,presente_progresivo,estoy habiendo,,False,
"haber, tú, presente progresivo",haber,egzystować,to have,tu,presente_progresivo,estás habiendo,,False,
"haber, él, presente progresivo",haber,egzystować,to have,el,presente_progresivo,está habiendo,,False,
"haber, ns, presente progresivo",haber,egzystować,to have,ns,presente_progresivo,estamos habiendo,,False,
"haber, vs, presente progresivo",haber,egzystować,to have,vs,presente_progresivo,estáis habiendo,,False,
"haber, ellos, presente progresivo",haber,egzystować,to have,ellos,presente_progresivo,están habiendo,,False,
"haber, yo, pretérito imperfecto",haber,egzystować,to have,yo,pret_imperfecto,había,,False,
"haber, tú, pretérito imperfecto",haber,egzystować,to have,tu,pret_imperfecto,habías,,False,
"haber, él, pretérito imperfecto",haber,egzystować,to have,el,pret_imperfecto,había,,False,
"haber, ns, pretérito imperfecto",haber,egzystować,to have,ns,pret_imperfecto,habíamos,,False,
"haber, vs, pretérito imperfecto",haber,egzystować,to have,vs,pret_imperfecto,habíais,,False,
"haber, ellos, pretérito imperfecto",haber,egzystować,to have,ellos,pret_imperfecto,habían,,False,
"haber, tú, imperativo",haber,egzystować,to have,tu,imperativo,h<em>e</em>,,True,
"haber, usted, imperativo",haber,egzystować,to have,ud,imperativo,ha<em>y</em>a,,True,
"haber, ns, imperativo",haber,egzystować,to have,ns,imperativo,ha<em>y</em>amos,,True,
"haber, vs, imperativo",haber,egzystować,to have,vs,imperativo,habed,,False,
"haber, ustedes, imperativo",haber,egzystować,to have,uds,imperativo,ha<em>y</em>an,,True,
"haber, yo, futuro",haber,egzystować,to have,yo,futuro_simple,hab<em>r</em>é,,True,
"haber, tú, futuro",haber,egzystować,to have,tu,futuro_simple,hab<em>r</em>ás,,True,
"haber, él, futuro",haber,egzystować,to have,el,futuro_simple,hab<em>r</em>á,,True,
"haber, ns, futuro",haber,egzystować,to have,ns,futuro_simple,hab<em>r</em>emos,,True,
"haber, vs, futuro",haber,egzystować,to have,vs,futuro_simple,hab<em>r</em>éis,,True,
"haber, ellos, futuro",haber,egzystować,to have,ellos,futuro_simple,hab<em>r</em>án,,True,
"hacer, yo, presente",hacer,robić,to do,yo,presente,ha<em>g</em>o,,True,
"hacer, tú, presente",hacer,robić,to do,tu,presente,haces,,False,
"hacer, él, presente",hacer,robić,to do,el,presente,hace,,False,
"hacer, ns, presente",hacer,robić,to do,ns,presente,hacemos,,False,
"hacer, vs, presente",hacer,robić,to do,vs,presente,hacéis,,False,
"hacer, ellos, presente",hacer,robić,to do,ellos,presente,hacen,,False,
"hacer, yo, pret. indefinido",hacer,robić,to do,yo,pret_indefinido,h<em>ice</em>,,True,
"hacer, tú, pret. indefinido",hacer,robić,to do,tu,pret_indefinido,h<em>i</em>ciste,,True,
"hacer, él, pret. indefinido",hacer,robić,to do,el,pret_indefinido,h<em>izo</em>,,True,
"hacer, ns, pret. indefinido",hacer,robić,to do,ns,pret_indefinido,h<em>i</em>cimos,,True,
"hacer, vs, pret. indefinido",hacer,robić,to do,vs,pret_indefinido,h<em>i</em>cisteis,,True,
"hacer, ellos, pret. indefinido",hacer,robić,to do,ellos,pret_indefinido,h<em>i</em>cieron,,True,
"hacer, yo, pret. perfecto",hacer,robić,to do,yo,pret_perfecto,he h<em>ech</em>o,,True,
"hacer, tú, pret. perfecto",hacer,robić,to do,tu,pret_perfecto,has h<em>ech</em>o,,True,
"hacer, él, pret. perfecto",hacer,robić,to do,el,pret_perfecto,ha h<em>ech</em>o,,True,
"hacer, ns, pret. perfecto",hacer,robić,to do,ns,pret_perfecto,hemos h<em>ech</em>o,,True,
"hacer, vs, pret. perfecto",hacer,robić,to do,vs,pret_perfecto,habéis h<em>ech</em>o,,True,
"hacer, ellos, pret. perfecto",hacer,robić,to do,ellos,pret_perfecto,han h<em>ech</em>o,,True,
"hacer, yo, presente progresivo",hacer,robić,to do,yo,presente_progresivo,estoy haciendo,,False,
"hacer, tú, presente progresivo",hacer,robić,to do,tu,presente_progresivo,estás haciendo,,False,
"hacer, él, presente progresivo",hacer,robić,to do,el,presente_progresivo,está haciendo,,False,
"hacer, ns, presente progresivo",hacer,robić,to do,ns,presente_progresivo,estamos haciendo,,False,
"hacer, vs, presente progresivo",hacer,robić,to do,vs,presente_progresivo,estáis haciendo,,False,
"hacer, ellos, presente progresivo",hacer,robić,to do,ellos,presente_progresivo,están haciendo,,False,
"hacer, yo, pretérito imperfecto",hacer,robić,to do,yo,pret_imperfecto,hacía,,False,
"hacer, tú, pretérito imperfecto",hacer,robić,to do,tu,pret_imperfecto,hacías,,False,
"hacer, él, pretérito imperfecto",hacer,robić,to do,el,pret_imperfecto,hacía,,False,
"hacer, ns, pretérito imperfecto",hacer,robić,to do,ns,pret_imperfecto,hacíamos,,False,
"hacer, vs, pretérito imperfecto",hacer,robić,to do,vs,pret_imperfecto,hacíais,,False,
"hacer, ellos, pretérito imperfecto",hacer,robić,to do,ellos,pret_imperfecto,hacían,,False,
"hacer, tú, imperativo",hacer,robić,to do,tu,imperativo,ha<em>z</em>,,True,
"hacer, usted, imperativo",hacer,robić,to do,ud,imperativo,ha<em>g</em>a,,True,
"hacer, ns, imperativo",hacer,robić,to do,ns,imperativo,ha<em>g</em>amos,,True,
"hacer, vs, imperativo",hacer,robić,to do,vs,imperativo,haced,,False,
"hacer, ustedes, imperativo",hacer,robić,to do,uds,imperativo,ha<em>g</em>an,,True,
"hacer, yo, futuro",hacer,robić,to do,yo,futuro_simple,ha<em>r</em>é,,True,
"hacer, tú, futuro",hacer,robić,to do,tu,futuro_simple,ha<em>r</em>ás,,True,
"hacer, él, futuro",hacer,robić,to do,el,futuro_simple,ha<em>r</em>á,,True,
"hacer, ns, futuro",hacer,robić,to do,ns,futuro_simple,ha<em>r</em>emos,,True,
"hacer, vs, futuro",hacer,robić,to do,vs,futuro_simple,ha<em>r</em>éis,,True,
"hacer, ellos, futuro",hacer,robić,to do,ellos,futuro_simple,ha<em>r</em>án,,True,
"ir, yo, presente",ir,iść,to go,yo,presente,<em>voy</em>,idę,True,ir
"ir, tú, presente",ir,iść,to go,tu,presente,<em>vas</em>,idziesz,True,ir
"ir, él, presente",ir,iść,to go,el,presente,<em>va</em>,idzie,True,ir
"ir, ns, presente",ir,iść,to go,ns,presente,<em>vamos</em>,idziemy,True,ir
"ir, vs, presente",ir,iść,to go,vs,presente,<em>vais</em>,idziecie,True,ir
"ir, ellos, presente",ir,iść,to go,ellos,presente,<em>van</em>,idą,True,ir
"ir, yo, pret. indefinido",ir,iść,to go,yo,pret_indefinido,<em>fui</em>,szedłem,True,ir
"ir, tú, pret. indefinido",ir,iść,to go,tu,pret_indefinido,<em>fuiste</em>,szedłeś,True,ir
"ir, él, pret. indefinido",ir,iść,to go,el,pret_indefinido,<em>fue</em>,szedł,True,ir
"ir, ns, pret. indefinido",ir,iść,to go,ns,pret_indefinido,<em>fuimos</em>,szliśmy,True,ir
"ir, vs, pret. indefinido",ir,iść,to go,vs,pret_indefinido,<em>fuisteis</em>,szliście,True,ir
"ir, ellos, pret. indefinido",ir,iść,to go,ellos,pret_indefinido,<em>fueron</em>,szli,True,ir
"ir, yo, pret. perfecto",ir,iść,to go,yo,pret_perfecto,he ido,,False,ir
"ir, tú, pret. perfecto",ir,iść,to go,tu,pret_perfecto,has ido,,False,ir
"ir, él, pret. perfecto",ir,iść,to go,el,pret_perfecto,ha ido,,False,ir
"ir, ns, pret. perfecto",ir,iść,to go,ns,pret_perfecto,hemos ido,,False,ir
"ir, vs, pret. perfecto",ir,iść,to go,vs,pret_perfecto,habéis ido,,False,ir
"ir, ellos, pret. perfecto",ir,iść,to go,ellos,pret_perfecto,han ido,,False,ir
"ir, yo, presente progresivo",ir,iść,to go,yo,presente_progresivo,estoy <em>y</em>endo,,True,ir
"ir, tú, presente progresivo",ir,iść,to go,tu,presente_progresivo,estás <em>y</em>endo,,True,ir
"ir, él, presente progresivo",ir,iść,to go,el,presente_progresivo,está <em>y</em>endo,,True,ir
"ir, ns, presente progresivo",ir,iść,to go,ns,presente_progresivo,estamos <em>y</em>endo,,True,ir
"ir, vs, presente progresivo",ir,iść,to go,vs,presente_progresivo,estáis <em>y</em>endo,,True,ir
"ir, ellos, presente progresivo",ir,iść,to go,ellos,presente_progresivo,están <em>y</em>endo,,True,ir
"ir, yo, pretérito imperfecto",ir,iść,to go,yo,pret_imperfecto,<em>iba</em>,,True,ir
"ir, tú, pretérito imperfecto",ir,iść,to go,tu,pret_imperfecto,<em>ibas</em>,,True,ir
"ir, él, pretérito imperfecto",ir,iść,to go,el,pret_imperfecto,<em>iba</em>,,True,ir
"ir, ns, pretérito imperfecto",ir,iść,to go,ns,pret_imperfecto,<em>íbamos</em>,,True,ir
"ir, vs, pretérito imperfecto",ir,iść,to go,vs,pret_imperfecto,<em>ibais</em>,,True,ir
"ir, ellos, pretérito imperfecto",ir,iść,to go,ellos,pret_imperfecto,<em>iban</em>,,True,ir
"ir, tú, imperativo",ir,iść,to go,tu,imperativo,<em>ve</em>,,True,ir
"ir, usted, imperativo",ir,iść,to go,ud,imperativo,<em>vaya</em>,,True,ir
"ir, ns, imperativo",ir,iść,to go,ns,imperativo,<em>vamos</em>,,True,ir
"ir, vs, imperativo",ir,iść,to go,vs,imperativo,id,,False,ir
"ir, ustedes, imperativo",ir,iść,to go,uds,imperativo,<em>vayan</em>,,True,ir
"ir, yo, futuro",ir,iść,to go,yo,futuro_simple,iré,,False,ir
"ir, tú, futuro",ir,iść,to go,tu,futuro_simple,irás,,False,ir
"ir, él, futuro",ir,iść,to go,el,futuro_simple,irá,,False,ir
"ir, ns, futuro",ir,iść,to go,ns,futuro_simple,iremos,,False,ir
"ir, vs, futuro",ir,iść,to go,vs,futuro_simple,iréis,,False,ir
"ir, ellos, futuro",ir,iść,to go,ellos,futuro_simple,irán,,False,ir
"levantarse, yo, presente",levantarse,wstać; obudzić się,to get up,yo,presente,me levanto,wstaję się,False,
"levantarse, tú, presente",levantarse,wstać; obudzić się,to get up,tu,presente,te levantas,wstajesz się,False,
"levantarse, él, presente",levantarse,wstać; obudzić się,to get up,el,presente,se levanta,wstaje się,False,
"levantarse, ns, presente",levantarse,wstać; obudzić się,to get up,ns,presente,nos levantamos,wstajemy się,False,
"levantarse, vs, presente",levantarse,wstać; obudzić się,to get up,vs,presente,os levantáis,wstajecie się,False,
"levantarse, ellos, presente",levantarse,wstać; obudzić się,to get up,ellos,presente,se levantan,wstają się,False,
"levantarse, yo, pret. indefinido",levantarse,wstać; obudzić się,to get up,yo,pret_indefinido,me levanté,wstałem się,False,
"levantarse, tú, pret. indefinido",levantarse,wstać; obudzić się,to get up,tu,pret_indefinido,te levantaste,wstałeś się,False,
"levantarse, él, pret. indefinido",levantarse,wstać; obudzić się,to get up,el,pret_indefinido,se levantó,wstał się,False,
"levantarse, ns, pret. indefinido",levantarse,wstać; obudzić się,to get up,ns,pret_indefinido,nos levantamos,wstaliśmy się,False,
"levantarse, vs, pret. indefinido",levantarse,wstać; obudzić się,to get up,vs,pret_indefinido,os levantasteis,wstaliście się,False,
"levantarse, ellos, pret. indefinido",levantarse,wstać; obudzić się,to get up,ellos,pret_indefinido,se levantaron,wstali się,False,
"levantarse, yo, pret. perfecto",levantarse,wstać; obudzić się,to get up,yo,pret_perfecto,me he levantado,,False,
"levantarse, tú, pret. perfecto",levantarse,wstać; obudzić się,to get up,tu,pret_perfecto,te has levantado,,False,
"levantarse, él, pret. perfecto",levantarse,wstać; obudzić się,to get up,el,pret_perfecto,se ha levantado,,False,
"levantarse, ns, pret. perfecto",levantarse,wstać; obudzić się,to get up,ns,pret_perfecto,nos hemos levantado,,False,
"levantarse, vs, pret. perfecto",levantarse,wstać; obudzić się,to get up,vs,pret_perfecto,os habéis levantado,,False,
"levantarse, ellos, pret. perfecto",levantarse,wstać; obudzić się,to get up,ellos,pret_perfecto,se han levantado,,False,
"levantarse, yo, presente progresivo",levantarse,wstać; obudzić się,to get up,yo,presente_progresivo,me estoy levantando,,False,
"levantarse, tú, presente progresivo",levantarse,wstać; obudzić się,to get up,tu,presente_progresivo,te estás levantando,,False,
"levantarse, él, presente progresivo",levantarse,wstać; obudzić się,to get up,el,presente_progresivo,se está levantando,,False,
"levantarse, ns, presente progresivo",levantarse,wstać; obudzić się,to get up,ns,presente_progresivo,nos estamos levantando,,False,
"levantarse, vs, presente progresivo",levantarse,wstać; obudzić się,to get up,vs,presente_progresivo,os estáis levantando,,False,
"levantarse, ellos, presente progresivo",levantarse,wstać; obudzić się,to get up,ellos,presente_progresivo,se están levantando,,False,
"levantarse, yo, pretérito imperfecto",levantarse,wstać; obudzić się,to get up,yo,pret_imperfecto,me levantaba,,False,
"levantarse, tú, pretérito imperfecto",levantarse,wstać; obudzić się,to get up,tu,pret_imperfecto,te levantabas,,False,
"levantarse, él, pretérito imperfecto",levantarse,wstać; obudzić się,to get up,el,pret_imperfecto,se levantaba,,False,
"levantarse, ns, pretérito imperfecto",levantarse,wstać; obudzić się,to get up,ns,pret_imperfecto,nos levantábamos,,False,
"levantarse, vs, pretérito imperfecto",levantarse,wstać; obudzić się,to get up,vs,pret_imperfecto,os levantabais,,False,
"levantarse, ellos, pretérito imperfecto",levantarse,wstać; obudzić się,to get up,ellos,pret_imperfecto,se levantaban,,False,
"levantarse, tú, imperativo",levantarse,wstać; obudzić się,to get up,tu,imperativo,levántate,,False,
"levantarse, usted, imperativo",levantarse,wstać; obudzić się,to get up,ud,imperativo,levántese,,False,
"levantarse, ns, imperativo",levantarse,wstać; obudzić się,to get up,ns,imperativo,levantémonos,,False,
"levantarse, vs, imperativo",levantarse,wstać; obudzić się,to get up,vs,imperativo,levantaos,,False,
"levantarse, ustedes, imperativo",levantarse,wstać; obudzić się,to get up,uds,imperativo,levántense,,False,
"levantarse, yo, futuro",levantarse,wstać; obudzić się,to get up,yo,futuro_simple,me levantaré,,False,
"levantarse, tú, futuro",levantarse,wstać; obudzić się,to get up,tu,futuro_simple,te levantarás,,False,
"levantarse, él, futuro",levantarse,wstać; obudzić się,to get up,el,futuro_simple,se levantará,,False,
"levantarse, ns, futuro",levantarse,wstać; obudzić się,to get up,ns,futuro_simple,nos levantaremos,,False,
"levantarse, vs, futuro",levantarse,wstać; obudzić się,to get up,vs,futuro_simple,os levantaréis,,False,
"levantarse, ellos, futuro",levantarse,wstać; obudzić się,to get up,ellos,futuro_simple,se levantarán,,False,
"llevar, yo, presente",llevar,nosić,to take,yo,presente,llevo,,False,
"llevar, tú, presente",llevar,nosić,to take,tu,presente,llevas,,False,
"llevar, él, presente",llevar,nosić,to take,el,presente,lleva,,False,
"llevar, ns, presente",llevar,nosić,to take,ns,presente,llevamos,,False,
"llevar, vs, presente",llevar,nosić,to take,vs,presente,lleváis,,False,
"llevar, ellos, presente",llevar,nosić,to take,ellos,presente,llevan,,False,
"llevar, yo, pret. indefinido",llevar,nosić,to take,yo,pret_indefinido,llevé,,False,
"llevar, tú, pret. indefinido",llevar,nosić,to take,tu,pret_indefinido,llevaste,,False,
"llevar, él, pret. indefinido",llevar,nosić,to take,el,pret_indefinido,llevó,,False,
"llevar, ns, pret. indefinido",llevar,nosić,to take,ns,pret_indefinido,llevamos,,False,
"llevar, vs, pret. indefinido",llevar,nosić,to take,vs,pret_indefinido,llevasteis,,False,
"llevar, ellos, pret. indefinido",llevar,nosić,to take,ellos,pret_indefinido,llevaron,,False,
"llevar, yo, pret. perfecto",llevar,nosić,to take,yo,pret_perfecto,he llevado,,False,
"llevar, tú, pret. perfecto",llevar,nosić,to take,tu,pret_perfecto,has llevado,,False,
"llevar, él, pret. perfecto",llevar,nosić,to take,el,pret_perfecto,ha llevado,,False,
"llevar, ns, pret. perfecto",llevar,nosić,to take,ns,pret_perfecto,hemos llevado,,False,
"llevar, vs, pret. perfecto",llevar,nosić,to take,vs,pret_perfecto,habéis llevado,,False,
"llevar, ellos, pret. perfecto",llevar,nosić,to take,ellos,pret_perfecto,han llevado,,False,
"llevar, yo, presente progresivo",llevar,nosić,to take,yo,presente_progresivo,estoy llevando,,False,
"llevar, tú, presente progresivo",llevar,nosić,to take,tu,presente_progresivo,estás llevando,,False,
"llevar, él, presente progresivo",llevar,nosić,to take,el,presente_progresivo,está llevando,,False,
"llevar, ns, presente progresivo",llevar,nosić,to take,ns,presente_progresivo,estamos llevando,,False,
"llevar, vs, presente progresivo",llevar,nosić,to take,vs,presente_progresivo,estáis llevando,,False,
"llevar, ellos, presente progresivo",llevar,nosić,to take,ellos,presente_progresivo,están llevando,,False,
"llevar, yo, pretérito imperfecto",llevar,nosić,to take,yo,pret_imperfecto,llevaba,,False,
"llevar, tú, pretérito imperfecto",llevar,nosić,to take,tu,pret_imperfecto,llevabas,,False,
"llevar, él, pretérito imperfecto",llevar,nosić,to take,el,pret_imperfecto,llevaba,,False,
"llevar, ns, pretérito imperfecto",llevar,nosić,to take,ns,pret_imperfecto,llevábamos,,False,
"llevar, vs, pretérito imperfecto",llevar,nosić,to take,vs,pret_imperfecto,llevabais,,False,
"llevar, ellos, pretérito imperfecto",llevar,nosić,to take,ellos,pret_imperfecto,llevaban,,False,
"llevar, tú, imperativo",llevar,nosić,to take,tu,imperativo,lleva,,False,
"llevar, usted, imperativo",llevar,nosić,to take,ud,imperativo,lleve,,False,
"llevar, ns, imperativo",llevar,nosić,to take,ns,imperativo,llevemos,,False,
"llevar, vs, imperativo",llevar,nosić,to take,vs,imperativo,llevad,,False,
"llevar, ustedes, imperativo",llevar,nosić,to take,uds,imperativo,lleven,,False,
"llevar, yo, futuro",llevar,nosić,to take,yo,futuro_simple,llevaré,,False,
"llevar, tú, futuro",llevar,nosić,to take,tu,futuro_simple,llevarás,,False,
"llevar, él, futuro",llevar,nosić,to take,el,futuro_simple,llevará,,False,
"llevar, ns, futuro",llevar,nosić,to take,ns,futuro_simple,llevaremos,,False,
"llevar, vs, futuro",llevar,nosić,to take,vs,futuro_simple,llevaréis,,False,
"llevar, ellos, futuro",llevar,nosić,to take,ellos,futuro_simple,llevarán,,False,
"oír, yo, presente",oír,słyszeć,to hear,yo,presente,o<em>ig</em>o,,True,
"oír, tú, presente",oír,słyszeć,to hear,tu,presente,o<em>y</em>es,,True,
"oír, él, presente",oír,słyszeć,to hear,el,presente,o<em>y</em>e,,True,
"oír, ns, presente",oír,słyszeć,to hear,ns,presente,o<em>í</em>mos,,True,
"oír, vs, presente",oír,słyszeć,to hear,vs,presente,oís,,False,
"oír, ellos, presente",oír,słyszeć,to hear,ellos,presente,o<em>y</em>en,,True,
"oír, yo, pret. indefinido",oír,słyszeć,to hear,yo,pret_indefinido,oí,,False,
"oír, tú, pret. indefinido",oír,słyszeć,to hear,tu,pret_indefinido,o<em>í</em>ste,,True,
"oír, él, pret. indefinido",oír,słyszeć,to hear,el,pret_indefinido,o<em>y</em>ó,,True,
"oír, ns, pret. indefinido",oír,słyszeć,to hear,ns,pret_indefinido,o<em>í</em>mos,,True,
"oír, vs, pret. indefinido",oír,słyszeć,to hear,vs,pret_indefinido,o<em>í</em>steis,,True,
"oír, ellos, pret. indefinido",oír,słyszeć,to hear,ellos,pret_indefinido,o<em>y</em>eron,,True,
"oír, yo, pret. perfecto",oír,słyszeć,to hear,yo,pret_perfecto,he o<em>í</em>do,,True,
"oír, tú, pret. perfecto",oír,słyszeć,to hear,tu,pret_perfecto,has o<em>í</em>do,,True,
"oír, él, pret. perfecto",oír,słyszeć,to hear,el,pret_perfecto,ha o<em>í</em>do,,True,
"oír, ns, pret. perfecto",oír,słyszeć,to hear,ns,pret_perfecto,hemos o<em>í</em>do,,True,
"oír, vs, pret. perfecto",oír,słyszeć,to hear,vs,pret_perfecto,habéis o<em>í</em>do,,True,
"oír, ellos, pret. perfecto",oír,słyszeć,to hear,ellos,pret_perfecto,han o<em>í</em>do,,True,
"oír, yo, presente progresivo",oír,słyszeć,to hear,yo,presente_progresivo,estoy o<em>y</em>endo,,True,
"oír, tú, presente progresivo",oír,słyszeć,to hear,tu,presente_progresivo,estás o<em>y</em>endo,,True,
"oír, él, presente progresivo",oír,słyszeć,to hear,el,presente_progresivo,está o<em>y</em>endo,,True,
"oír, ns, presente progresivo",oír,słyszeć,to hear,ns,presente_progresivo,estamos o<em>y</em>endo,,True,
"oír, vs, presente progresivo",oír,słyszeć,to hear,vs,presente_progresivo,estáis o<em>y</em>endo,,True,
"oír, ellos, presente progresivo",oír,słyszeć,to hear,ellos,presente_progresivo,están o<em>y</em>endo,,True,
"oír, yo, pretérito imperfecto",oír,słyszeć,to hear,yo,pret_imperfecto,oía,,False,
"oír, tú, pretérito imperfecto",oír,słyszeć,to hear,tu,pret_imperfecto,oías,,False,
"oír, él, pretérito imperfecto",oír,słyszeć,to hear,el,pret_imperfecto,oía,,False,
"oír, ns, pretérito imperfecto",oír,słyszeć,to hear,ns,pret_imperfecto,oíamos,,False,
"oír, vs, pretérito imperfecto",oír,słyszeć,to hear,vs,pret_imperfecto,oíais,,False,
"oír, ellos, pretérito imperfecto",oír,słyszeć,to hear,ellos,pret_imperfecto,oían,,False,
"oír, tú, imperativo",oír,słyszeć,to hear,tu,imperativo,o<em>y</em>e,,True,
"oír, usted, imperativo",oír,słyszeć,to hear,ud,imperativo,o<em>ig</em>a,,True,
"oír, ns, imperativo",oír,słyszeć,to hear,ns,imperativo,o<em>ig</em>amos,,True,
"oír, vs, imperativo",oír,słyszeć,to hear,vs,imperativo,oíd,,False,
"oír, ustedes, imperativo",oír,słyszeć,to hear,uds,imperativo,o<em>ig</em>an,,True,
"oír, yo, futuro",oír,słyszeć,to hear,yo,futuro_simple,oiré,,False,
"oír, tú, futuro",oír,słyszeć,to hear,tu,futuro_simple,oirás,,False,
"oír, él, futuro",oír,słyszeć,to hear,el,futuro_simple,oirá,,False,
"oír, ns, futuro",oír,słyszeć,to hear,ns,futuro_simple,oiremos,,False,
"oír, vs, futuro",oír,słyszeć,to hear,vs,futuro_simple,oiréis,,False,
"oír, ellos, futuro",oír,słyszeć,to hear,ellos,futuro_simple,oirán,,False,
"pedir, yo, presente",pedir,poprosić,to ask for,yo,presente,p<em>i</em>do,,True,
"pedir, tú, presente",pedir,poprosić,to ask for,tu,presente,p<em>i</em>des,,True,
"pedir, él, presente",pedir,poprosić,to ask for,el,presente,p<em>i</em>de,,True,
"pedir, ns, presente",pedir,poprosić,to ask for,ns,presente,pedimos,,False,
"pedir, vs, presente",pedir,poprosić,to ask for,vs,presente,pedís,,False,
"pedir, ellos, presente",pedir,poprosić,to ask for,ellos,presente,p<em>i</em>den,,True,
"pedir, yo, pret. indefinido",pedir,poprosić,to ask for,yo,pret_indefinido,pedí,,False,
"pedir, tú, pret. indefinido",pedir,poprosić,to ask for,tu,pret_indefinido,pediste,,False,
"pedir, él, pret. indefinido",pedir,poprosić,to ask for,el,pret_indefinido,p<em>i</em>dió,,True,
"pedir, ns, pret. indefinido",pedir,poprosić,to ask for,ns,pret_indefinido,pedimos,,False,
"pedir, vs, pret. indefinido",pedir,poprosić,to ask for,vs,pret_indefinido,pedisteis,,False,
"pedir, ellos, pret. indefinido",pedir,poprosić,to ask for,ellos,pret_indefinido,p<em>i</em>dieron,,True,
"pedir, yo, pret. perfecto",pedir,poprosić,to ask for,yo,pret_perfecto,he pedido,,False,
"pedir, tú, pret. perfecto",pedir,poprosić,to ask for,tu,pret_perfecto,has pedido,,False,
"pedir, él, pret. perfecto",pedir,poprosić,to ask for,el,pret_perfecto,ha pedido,,False,
"pedir, ns, pret. perfecto",pedir,poprosić,to ask for,ns,pret_perfecto,hemos pedido,,False,
"pedir, vs, pret. perfecto",pedir,poprosić,to ask for,vs,pret_perfecto,habéis pedido,,False,
"pedir, ellos, pret. perfecto",pedir,poprosić,to ask for,ellos,pret_perfecto,han pedido,,False,
"pedir, yo, presente progresivo",pedir,poprosić,to ask for,yo,presente_progresivo,estoy p<em>i</em>diendo,,True,
"pedir, tú, presente progresivo",pedir,poprosić,to ask for,tu,presente_progresivo,estás p<em>i</em>diendo,,True,
"pedir, él, presente progresivo",pedir,poprosić,to ask for,el,presente_progresivo,está p<em>i</em>diendo,,True,
"pedir, ns, presente progresivo",pedir,poprosić,to ask for,ns,presente_progresivo,estamos p<em>i</em>diendo,,True,
"pedir, vs, presente progresivo",pedir,poprosić,to ask for,vs,presente_progresivo,estáis p<em>i</em>diendo,,True,
"pedir, ellos, presente progresivo",pedir,poprosić,to ask for,ellos,presente_progresivo,están p<em>i</em>diendo,,True,
"pedir, yo, pretérito imperfecto",pedir,poprosić,to ask for,yo,pret_imperfecto,pedía,,False,
"pedir, tú, pretérito imperfecto",pedir,poprosić,to ask for,tu,pret_imperfecto,pedías,,False,
"pedir, él, pretérito imperfecto",pedir,poprosić,to ask for,el,pret_imperfecto,pedía,,False,
"pedir, ns, pretérito imperfecto",pedir,poprosić,to ask for,ns,pret_imperfecto,pedíamos,,False,
"pedir, vs, pretérito imperfecto",pedir,poprosić,to ask for,vs,pret_imperfecto,pedíais,,False,
"pedir, ellos, pretérito imperfecto",pedir,poprosić,to ask for,ellos,pret_imperfecto,pedían,,False,
"pedir, tú, imperativo",pedir,poprosić,to ask for,tu,imperativo,p<em>i</em>de,,True,
