#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::Basic verbs::all
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint
"dar, ellos, pret. indefinido",dar,dać,to give,ellos,pret_indefinido,d<em>ie</em>ron,dali,True,
"dar, yo, pret. perfecto",dar,dać,to give,yo,pret_perfecto,he dado,,False,
"dar, tú, pret. perfecto",dar,dać,to give,tu,pret_perfecto,has dado,,False,
"dar, él, pret. perfecto",dar,dać,to give,el,pret_perfecto,ha dado,,False,
"dar, ns, pret. perfecto",dar,dać,to give,ns,pret_perfecto,hemos dado,,False,
"dar, vs, pret. perfecto",dar,dać,to give,vs,pret_perfecto,habéis dado,,False,
"dar, ellos, pret. perfecto",dar,dać,to give,ellos,pret_perfecto,han dado,,False,
"dar, yo, presente progresivo",dar,dać,to give,yo,presente_progresivo,estoy dando,,False,
"dar, tú, presente progresivo",dar,dać,to give,tu,presente_progresivo,estás dando,,False,
"dar, él, presente progresivo",dar,dać,to give,el,presente_progresivo,está dando,,False,
"dar, ns, presente progresivo",dar,dać,to give,ns,presente_progresivo,estamos dando,,False,
"dar, vs, presente progresivo",dar,dać,to give,vs,presente_progresivo,estáis dando,,False,
"dar, ellos, presente progresivo",dar,dać,to give,ellos,presente_progresivo,están dando,,False,
"dar, yo, pretérito imperfecto",dar,dać,to give,yo,pret_imperfecto,daba,,False,
"dar, tú, pretérito imperfecto",dar,dać,to give,tu,pret_imperfecto,dabas,,False,
"dar, él, pretérito imperfecto",dar,dać,to give,el,pret_imperfecto,daba,,False,
"dar, ns, pretérito imperfecto",dar,dać,to give,ns,pret_imperfecto,dábamos,,False,
"dar, vs, pretérito imperfecto",dar,dać,to give,vs,pret_imperfecto,dabais,,False,
"dar, ellos, pretérito imperfecto",dar,dać,to give,ellos,pret_imperfecto,daban,,False,
"dar, tú, imperativo",dar,dać,to give,tu,imperativo,da,,False,
"dar, usted, imperativo",dar,dać,to give,ud,imperativo,d<em>é</em>,,True,
"dar, ns, imperativo",dar,dać,to give,ns,imperativo,demos,,False,
"dar, vs, imperativo",dar,dać,to give,vs,imperativo,dad,,False,
"dar, ustedes, imperativo",dar,dać,to give,uds,imperativo,den,,False,
