#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::Basic verbs::irregulares
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"estar, ustedes, imperativo",estar,być,to be,uds,imperativo,est<em>é</em>n,,true,estar,conjugation::basic-verb
"haber, yo, presente",haber,egzystować,to have,yo,presente,h<em>e</em>,,true,,conjugation::basic-verb
"haber, tú, presente",haber,egzystować,to have,tu,presente,ha<em>s</em>,,true,,conjugation::basic-verb
"haber, él, presente",haber,egzystować,to have,el,presente,h<em>a</em>,,true,,conjugation::basic-verb
"haber, ns, presente",haber,egzystować,to have,ns,presente,h<em>e</em>mos,,true,,conjugation::basic-verb
"haber, ellos, presente",haber,egzystować,to have,ellos,presente,ha<em>n</em>,,true,,conjugation::basic-verb
"haber, yo, pret. indefinido",haber,egzystować,to have,yo,pret_indefinido,h<em>ube</em>,,true,,conjugation::basic-verb
"haber, tú, pret. indefinido",haber,egzystować,to have,tu,pret_indefinido,h<em>u</em>biste,,true,,conjugation::basic-verb
"haber, él, pret. indefinido",haber,egzystować,to have,el,pret_indefinido,h<em>ubo</em>,,true,,conjugation::basic-verb
"haber, ns, pret. indefinido",haber,egzystować,to have,ns,pret_indefinido,h<em>u</em>bimos,,true,,conjugation::basic-verb
"haber, vs, pret. indefinido",haber,egzystować,to have,vs,pret_indefinido,h<em>u</em>bisteis,,true,,conjugation::basic-verb
"haber, ellos, pret. indefinido",haber,egzystować,to have,ellos,pret_indefinido,h<em>u</em>bieron,,true,,conjugation::basic-verb
"haber, tú, imperativo",haber,egzystować,to have,tu,imperativo,h<em>e</em>,,true,,conjugation::basic-verb
"haber, usted, imperativo",haber,egzystować,to have,ud,imperativo,ha<em>y</em>a,,true,,conjugation::basic-verb
"haber, ns, imperativo",haber,egzystować,to have,ns,imperativo,ha<em>y</em>amos,,true,,conjugation::basic-verb
"haber, ustedes, imperativo",haber,egzystować,to have,uds,imperativo,ha<em>y</em>an,,true,,conjugation::basic-verb
"haber, yo, futuro",haber,egzystować,to have,yo,futuro_simple,hab<em>r</em>é,,true,,conjugation::basic-verb
"haber, tú, futuro",haber,egzystować,to have,tu,futuro_simple,hab<em>r</em>ás,,true,,conjugation::basic-verb
"haber, él, futuro",haber,egzystować,to have,el,futuro_simple,hab<em>r</em>á,,true,,conjugation::basic-verb
"haber, ns, futuro",haber,egzystować,to have,ns,futuro_simple,hab<em>r</em>emos,,true,,conjugation::basic-verb
"haber, vs, futuro",haber,egzystować,to have,vs,futuro_simple,hab<em>r</em>éis,,true,,conjugation::basic-verb
"haber, ellos, futuro",haber,egzystować,to have,ellos,futuro_simple,hab<em>r</em>án,,true,,conjugation::basic-verb
"hacer, yo, presente",hacer,robić,to do,yo,presente,ha<em>g</em>o,,true,,conjugation::basic-verb
"hacer, yo, pret. indefinido",hacer,robić,to do,yo,pret_indefinido,h<em>ice</em>,,true,,conjugation::basic-verb
"hacer, tú, pret. indefinido",hacer,robić,to do,tu,pret_indefinido,h<em>i</em>ciste,,true,,conjugation::basic-verb
"hacer, él, pret. indefinido",hacer,robić,to do,el,pret_indefinido,h<em>izo</em>,,true,,conjugation::basic-verb
"hacer, ns, pret. indefinido",hacer,robić,to do,ns,pret_indefinido,h<em>i</em>cimos,,true,,conjugation::basic-verb
"hacer, vs, pret. indefinido",hacer,robić,to do,vs,pret_indefinido,h<em>i</em>cisteis,,true,,conjugation::basic-verb
"hacer, ellos, pret. indefinido",hacer,robić,to do,ellos,pret_indefinido,h<em>i</em>cieron,,true,,conjugation::basic-verb
"hacer, yo, pret. perfecto",hacer,robić,to do,yo,pret_perfecto,he h<em>ech</em>o,,true,,conjugation::basic-verb
"hacer, tú, pret. perfecto",hacer,robić,to do,tu,pret_perfecto,has h<em>ech</em>o,,true,,conjugation::basic-verb
"hacer, él, pret. perfecto",hacer,robić,to do,el,pret_perfecto,ha h<em>ech</em>o,,true,,conjugation::basic-verb
"hacer, ns, pret. perfecto",hacer,robić,to do,ns,pret_perfecto,hemos h<em>ech</em>o,,true,,conjugation::basic-verb
"hacer, vs, pret. perfecto",hacer,robić,to do,vs,pret_perfecto,habéis h<em>ech</em>o,,true,,conjugation::basic-verb
"hacer, ellos, pret. perfecto",hacer,robić,to do,ellos,pret_perfecto,han h<em>ech</em>o,,true,,conjugation::basic-verb
"hacer, tú, imperativo",hacer,robić,to do,tu,imperativo,ha<em>z</em>,,true,,conjugation::basic-verb
"hacer, usted, imperativo",hacer,robić,to do,ud,imperativo,ha<em>g</em>a,,true,,conjugation::basic-verb
"hacer, ns, imperativo",hacer,robić,to do,ns,imperativo,ha<em>g</em>amos,,true,,conjugation::basic-verb
"hacer, ustedes, imperativo",hacer,robić,to do,uds,imperativo,ha<em>g</em>an,,true,,conjugation::basic-verb
"hacer, yo, futuro",hacer,robić,to do,yo,futuro_simple,ha<em>r</em>é,,true,,conjugation::basic-verb
"hacer, tú, futuro",hacer,robić,to do,tu,futuro_simple,ha<em>r</em>ás,,true,,conjugation::basic-verb
"hacer, él, futuro",hacer,robić,to do,el,futuro_simple,ha<em>r</em>á,,true,,conjugation::basic-verb
"hacer, ns, futuro",hacer,robić,to do,ns,futuro_simple,ha<em>r</em>emos,,true,,conjugation::basic-verb
"hacer, vs, futuro",hacer,robić,to do,vs,futuro_simple,ha<em>r</em>éis,,true,,conjugation::basic-verb
"hacer, ellos, futuro",hacer,robić,to do,ellos,futuro_simple,ha<em>r</em>án,,true,,conjugation::basic-verb
"ir, yo, presente",ir,iść,to go,yo,presente,<em>voy</em>,idę,true,ir,conjugation::basic-verb
"ir, tú, presente",ir,iść,to go,tu,presente,<em>vas</em>,idziesz,true,ir,conjugation::basic-verb
"ir, él, presente",ir,iść,to go,el,presente,<em>va</em>,idzie,true,ir,conjugation::basic-verb
"ir, ns, presente",ir,iść,to go,ns,presente,<em>vamos</em>,idziemy,true,ir,conjugation::basic-verb
"ir, vs, presente",ir,iść,to go,vs,presente,<em>vais</em>,idziecie,true,ir,conjugation::basic-verb
"ir, ellos, presente",ir,iść,to go,ellos,presente,<em>van</em>,idą,true,ir,conjugation::basic-verb
"ir, yo, pret. indefinido",ir,iść,to go,yo,pret_indefinido,<em>fui</em>,szedłem,true,ir,conjugation::basic-verb
"ir, tú, pret. indefinido",ir,iść,to go,tu,pret_indefinido,<em>fuiste</em>,szedłeś,true,ir,conjugation::basic-verb
"ir, él, pret. indefinido",ir,iść,to go,el,pret_indefinido,<em>fue</em>,szedł,true,ir,conjugation::basic-verb
"ir, ns, pret. indefinido",ir,iść,to go,ns,pret_indefinido,<em>fuimos</em>,szliśmy,true,ir,conjugation::basic-verb
"ir, vs, pret. indefinido",ir,iść,to go,vs,pret_indefinido,<em>fuisteis</em>,szliście,true,ir,conjugation::basic-verb
"ir, ellos, pret. indefinido",ir,iść,to go,ellos,pret_indefinido,<em>fueron</em>,szli,true,ir,conjugation::basic-verb
"ir, yo, presente progresivo",ir,iść,to go,yo,presente_progresivo,estoy <em>y</em>endo,,true,ir,conjugation::basic-verb
"ir, tú, presente progresivo",ir,iść,to go,tu,presente_progresivo,estás <em>y</em>endo,,true,ir,conjugation::basic-verb
"ir, él, presente progresivo",ir,iść,to go,el,presente_progresivo,está <em>y</em>endo,,true,ir,conjugation::basic-verb
"ir, ns, presente progresivo",ir,iść,to go,ns,presente_progresivo,estamos <em>y</em>endo,,true,ir,conjugation::basic-verb
"ir, vs, presente progresivo",ir,iść,to go,vs,presente_progresivo,estáis <em>y</em>endo,,true,ir,conjugation::basic-verb
"ir, ellos, presente progresivo",ir,iść,to go,ellos,presente_progresivo,están <em>y</em>endo,,true,ir,conjugation::basic-verb
"ir, yo, pretérito imperfecto",ir,iść,to go,yo,pret_imperfecto,<em>iba</em>,,true,ir,conjugation::basic-verb
"ir, tú, pretérito imperfecto",ir,iść,to go,tu,pret_imperfecto,<em>ibas</em>,,true,ir,conjugation::basic-verb
"ir, él, pretérito imperfecto",ir,iść,to go,el,pret_imperfecto,<em>iba</em>,,true,ir,conjugation::basic-verb
"ir, ns, pretérito imperfecto",ir,iść,to go,ns,pret_imperfecto,<em>íbamos</em>,,true,ir,conjugation::basic-verb
"ir, vs, pretérito imperfecto",ir,iść,to go,vs,pret_imperfecto,<em>ibais</em>,,true,ir,conjugation::basic-verb
"ir, ellos, pretérito imperfecto",ir,iść,to go,ellos,pret_imperfecto,<em>iban</em>,,true,ir,conjugation::basic-verb
"ir, tú, imperativo",ir,iść,to go,tu,imperativo,<em>ve</em>,,true,ir,conjugation::basic-verb
"ir, usted, imperativo",ir,iść,to go,ud,imperativo,<em>vaya</em>,,true,ir,conjugation::basic-verb
"ir, ns, imperativo",ir,iść,to go,ns,imperativo,<em>vamos</em>,,true,ir,conjugation::basic-verb
"ir, ustedes, imperativo",ir,iść,to go,uds,imperativo,<em>vayan</em>,,true,ir,conjugation::basic-verb
"oír, yo, presente",oír,słyszeć,to hear,yo,presente,o<em>ig</em>o,,true,,conjugation::basic-verb
"oír, tú, presente",oír,słyszeć,to hear,tu,presente,o<em>y</em>es,,true,,conjugation::basic-verb
"oír, él, presente",oír,słyszeć,to hear,el,presente,o<em>y</em>e,,true,,conjugation::basic-verb
"oír, ns, presente",oír,słyszeć,to hear,ns,presente,o<em>í</em>mos,,true,,conjugation::basic-verb
"oír, ellos, presente",oír,słyszeć,to hear,ellos,presente,o<em>y</em>en,,true,,conjugation::basic-verb
"oír, tú, pret. indefinido",oír,słyszeć,to hear,tu,pret_indefinido,o<em>í</em>ste,,true,,conjugation::basic-verb
"oír, él, pret. indefinido",oír,słyszeć,to hear,el,pret_indefinido,o<em>y</em>ó,,true,,conjugation::basic-verb
"oír, ns, pret. indefinido",oír,słyszeć,to hear,ns,pret_indefinido,o<em>í</em>mos,,true,,conjugation::basic-verb
"oír, vs, pret. indefinido",oír,słyszeć,to hear,vs,pret_indefinido,o<em>í</em>steis,,true,,conjugation::basic-verb
"oír, ellos, pret. indefinido",oír,słyszeć,to hear,ellos,pret_indefinido,o<em>y</em>eron,,true,,conjugation::basic-verb
"oír, yo, pret. perfecto",oír,słyszeć,to hear,yo,pret_perfecto,he o<em>í</em>do,,true,,conjugation::basic-verb
"oír, tú, pret. perfecto",oír,słyszeć,to hear,tu,pret_perfecto,has o<em>í</em>do,,true,,conjugation::basic-verb
"oír, él, pret. perfecto",oír,słyszeć,to hear,el,pret_perfecto,ha o<em>í</em>do,,true,,conjugation::basic-verb
"oír, ns, pret. perfecto",oír,słyszeć,to hear,ns,pret_perfecto,hemos o<em>í</em>do,,true,,conjugation::basic-verb
"oír, vs, pret. perfecto",oír,słyszeć,to hear,vs,pret_perfecto,habéis o<em>í</em>do,,true,,conjugation::basic-verb
"oír, ellos, pret. perfecto",oír,słyszeć,to hear,ellos,pret_perfecto,han o<em>í</em>do,,true,,conjugation::basic-verb
"oír, yo, presente progresivo",oír,słyszeć,to hear,yo,presente_progresivo,estoy o<em>y</em>endo,,true,,conjugation::basic-verb
"oír, tú, presente progresivo",oír,słyszeć,to hear,tu,presente_progresivo,estás o<em>y</em>endo,,true,,conjugation::basic-verb
"oír, él, presente progresivo",oír,słyszeć,to hear,el,presente_progresivo,está o<em>y</em>endo,,true,,conjugation::basic-verb
"oír, ns, presente progresivo",oír,słyszeć,to hear,ns,presente_progresivo,estamos o<em>y</em>endo,,true,,conjugation::basic-verb
"oír, vs, presente progresivo",oír,słyszeć,to hear,vs,presente_progresivo,estáis o<em>y</em>endo,,true,,conjugation::basic-verb
"oír, ellos, presente progresivo",oír,słyszeć,to hear,ellos,presente_progresivo,están o<em>y</em>endo,,true,,conjugation::basic-verb
"oír, tú, imperativo",oír,słyszeć,to hear,tu,imperativo,o<em>y</em>e,,true,,conjugation::basic-verb
"oír, usted, imperativo",oír,słyszeć,to hear,ud,imperativo,o<em>ig</em>a,,true,,conjugation::basic-verb
"oír, ns, imperativo",oír,słyszeć,to hear,ns,imperativo,o<em>ig</em>amos,,true,,conjugation::basic-verb
"oír, ustedes, imperativo",oír,słyszeć,to hear,uds,imperativo,o<em>ig</em>an,,true,,conjugation::basic-verb
