#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::All verbs::irregulares
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"conseguir, ns, imperativo",conseguir,zyskać,to get,ns,imperativo,cons<em>ig</em>amos,,true,,conjugation::basic-verb
"conseguir, ustedes, imperativo",conseguir,zyskać,to get,uds,imperativo,cons<em>ig</em>an,,true,,conjugation::basic-verb
"construir, yo, presente",construir,budować,to build,yo,presente,constru<em>y</em>o,,true,,
"construir, tú, presente",construir,budować,to build,tu,presente,constru<em>y</em>es,,true,,
"construir, él, presente",construir,budować,to build,el,presente,constru<em>y</em>e,,true,,
"construir, ellos, presente",construir,budować,to build,ellos,presente,constru<em>y</em>en,,true,,
"construir, él, pret. indefinido",construir,budować,to build,el,pret_indefinido,constru<em>y</em>ó,,true,,
"construir, ellos, pret. indefinido",construir,budować,to build,ellos,pret_indefinido,constru<em>y</em>eron,,true,,
"construir, yo, presente progresivo",construir,budować,to build,yo,presente_progresivo,estoy constru<em>y</em>endo,,true,,
"construir, tú, presente progresivo",construir,budować,to build,tu,presente_progresivo,estás constru<em>y</em>endo,,true,,
"construir, él, presente progresivo",construir,budować,to build,el,presente_progresivo,está constru<em>y</em>endo,,true,,
"construir, ns, presente progresivo",construir,budować,to build,ns,presente_progresivo,estamos constru<em>y</em>endo,,true,,
"construir, vs, presente progresivo",construir,budować,to build,vs,presente_progresivo,estáis constru<em>y</em>endo,,true,,
"construir, ellos, presente progresivo",construir,budować,to build,ellos,presente_progresivo,están constru<em>y</em>endo,,true,,
"construir, tú, imperativo",construir,budować,to build,tu,imperativo,constru<em>y</em>e,,true,,
"construir, usted, imperativo",construir,budować,to build,ud,imperativo,constru<em>y</em>a,,true,,
"construir, ns, imperativo",construir,budować,to build,ns,imperativo,constru<em>y</em>amos,,true,,
"construir, ustedes, imperativo",construir,budować,to build,uds,imperativo,constru<em>y</em>an,,true,,
"contar, yo, presente",contar,liczyć,to count,yo,presente,c<em>ue</em>nto,,true,,
"contar, tú, presente",contar,liczyć,to count,tu,presente,c<em>ue</em>ntas,,true,,
"contar, él, presente",contar,liczyć,to count,el,presente,c<em>ue</em>nta,,true,,
"contar, ellos, presente",contar,liczyć,to count,ellos,presente,c<em>ue</em>ntan,,true,,
"contar, tú, imperativo",contar,liczyć,to count,tu,imperativo,c<em>ue</em>nta,,true,,
"contar, usted, imperativo",contar,liczyć,to count,ud,imperativo,c<em>ue</em>nte,,true,,
"contar, ustedes, imperativo",contar,liczyć,to count,uds,imperativo,c<em>ue</em>nten,,true,,
"dar, yo, presente",dar,dać,to give,yo,presente,do<em>y</em>,daję,true,,conjugation::basic-verb
"dar, vs, presente",dar,dać,to give,vs,presente,d<em>a</em>is,dajecie,true,,conjugation::basic-verb
